intervention_id,intervention_name,category,mechanism,evidence_source,effect_size_pct_reduction,evidence_grade,cost_per_daly_inr_2023,feasibility_dmhp_score,equity_score_women_rural_poor,scalability_population_reach_per_crore,india_context_applicability,notes
LL01,Pesticide regulation (means restriction),means_restriction,Removes most lethal common method (organophosphate/paraquat) from accessible sale,WHO LIVE LIFE 2021; Gunnell et al BMJ 2017,30,4,3500,4,5,1500000,5,Sri Lanka model; Telangana partial ban 2020; India PIM-Act 1968 enables state bans
LL02,Responsible media reporting guidelines,population_level,Reduces Werther-effect imitation through journalist training and PCI compliance,WHO LIVE LIFE 2021; Niederkrotenthaler Lancet Psychiatry 2020,5,3,150,4,4,10000000,4,PCI guidelines exist; enforcement weak; cost very low; population-wide
LL03,Adolescent socio-emotional skills training,school_based,Builds coping resources in age-14-18 window,WHO LIVE LIFE 2021; Wasserman SEYLE RCT Lancet 2015,15,4,8500,3,4,200000,3,Limited Indian RCT replication; Kerala SCERT pilot ongoing
LL04,Early identification + brief contact intervention,clinical,Postcards/SMS/phone follow-up after suicide attempt or screen-positive,WHO LIVE LIFE 2021; Milner Lancet Psychiatry 2015,17,3,4200,4,4,300000,4,WHO BIC India RCT (Vijayakumar 2009); DMHP-deliverable
IN01,Tele-MANAS national helpline expansion,clinical,24/7 free tele-counselling; current 14 cells -> 36+ states/UTs,MoHFW Tele-MANAS Q1 2024 report; helpline meta-analyses (Hoffberg 2019),10,2,2500,5,5,5000000,5,Government programme launched Oct 2022; expansion is staffing not new infrastructure
IN02,mhGAP-IG primary-care integration,clinical,Asha/ANM trained on PHQ-9 + brief intervention referral pathway,Patel et al Lancet 2017 (Goa-SMART); WHO mhGAP-IG v2.0,12,4,6000,5,5,400000,5,Goa-SMART RCT showed effect; MoHFW pilot in 8 states; DMHP-aligned
IN03,Crisis helpline scale-up (iCALL/AASRA/Vandrevala),clinical,NGO-operated phone + chat crisis lines with referral,Hoffberg Annu Rev Public Health 2019; iCALL impact data,5,2,1200,3,3,1000000,3,Existing NGO networks; cross-state coverage uneven; cost-effective at scale
IN04,Post-attempt peer support (DAPHNE model),community,Survivor-led peer groups + lay counsellor follow-up after attempt,NIMHANS DAPHNE evaluation 2021; Inagaki JAMA Psychiatry 2019,20,3,3500,3,3,50000,4,NIMHANS programme; high re-attempt reduction in pilot cohort
IN05,Workplace mental-health screening (IT sector),occupational,PHQ-9 screening + EAP counsellor access in formal-sector workplaces,NIMHANS-PfMH workplace pilot; LaMontagne Aust NZ J Psychiatry 2014,8,3,15000,4,1,200000,3,CSR funding available; regressive (formal sector only); India context moderate
IN06,Farmer-distress credit + counselling package,community,Multi-component: debt counselling + crisis credit + DMHP linkage,Vidarbha/Marathwada NABARD-MoHFW pilot 2019; Patel et al Lancet 2018,25,3,12000,3,5,100000,4,Multi-ministry coordination challenging; large effect in high-risk subgroup
IN07,University-based screening + counselling cells,school_based,UGC-mandated student counselling + suicide screening,UGC Guidelines for Mental Health 2023; Posner C-SSRS validation,10,2,5500,4,2,300000,3,UGC mandate gives infrastructure; effect size uncertain; regressive (university-going)
IN08,Bridge/jumping-site means restriction (barriers + hotline),means_restriction,Physical barriers + crisis signage at suicide hot-spots,Pirkis Lancet Psychiatry 2015 meta-analysis (-93% at site),2,4,2500,2,2,30000,2,Mumbai sea-link case studies; population effect small but site-level reduction strong
IN09,Alcohol availability restriction (state-level),population_level,Pricing/sales restriction reduces ETOH-related impulsive suicides,Norstrom J Studies Alcohol 2009; Bihar prohibition impact 2016+,8,2,500,2,4,2000000,4,Politically fraught; displacement effects; cost-effective at scale where implemented
IN10,Decriminalisation impact monitoring (MHCA 2017 Sec 115),legal,Legal protection from prosecution after attempt; reduces help-seeking stigma,Mental Healthcare Act 2017 Section 115; Behere Indian J Psychiatry 2017,3,2,100,5,5,20000000,5,Law already in force; enforcement and awareness uneven; minimal cost
# Library curated 2026-05-30. Field guidance:
#   effect_size_pct_reduction: population suicide rate % reduction (5-50 plausible per intervention)
#   evidence_grade: 1=Very Low, 2=Low, 3=Moderate, 4=High (GRADE)
#   cost_per_daly_inr_2023: lower better; based on WHO-CHOICE SEAR-D + Indian programme costs
#   feasibility_dmhp_score: 1=new infrastructure needed, 5=DMHP can deliver today
#   equity_score_women_rural_poor: 1=regressive, 5=strongly pro-equity
#   scalability_population_reach_per_crore: persons reached per 1 crore INR (10 million INR) spent
#   india_context_applicability: 1=no Indian evidence, 5=mature Indian RCT/programme
