year,ncrb_count,gbd_count,gbd_lo,gbd_hi,who_count,who_rate,srs_pct_of_deaths,srs_count,total_deaths_m,mccd_count,ncrb_vs_srs,gbd_vs_srs,mccd_vs_srs,ncrb_vs_gbd
2014,,,,,203665.0,15.727,,,,,,,,
2015,,,,,198740.0,15.171,2.3,172500.0,7.5,,,,,
2016,,185580.0817028417,142128.92687039007,221747.91749677996,199744.0,15.075,,,,3716.0,,,,
2017,,188264.29155818207,145580.764728782,224568.39146913728,203756.0,15.217,2.5,192500.0,7.7,3805.0,,0.978,0.02,
2018,134516.0,186845.71305555385,144784.14234603778,221578.0771193013,197633.0,14.607,2.5,195000.0,7.8,3448.0,0.69,0.958,0.018,0.72
2019,139123.0,187558.8823632376,145713.673318659,220631.49196393977,193931.0,14.197,2.4,190800.0,7.95,3653.0,0.729,0.983,0.019,0.742
2020,153052.0,187571.94546325467,146171.31884727618,221650.79569982117,181939.0,13.184,2.2,204600.0,9.3,,0.748,0.917,,0.816
2021,164033.0,205876.2288056906,156274.93958360486,243099.49794663605,175852.0,12.624,2.3,220800.0,9.6,3871.0,0.743,0.932,0.018,0.797
2022,170924.0,201395.47883684785,154078.46338427832,241843.21483483672,,,2.5,230000.0,9.2,7703.0,0.743,0.876,0.033,0.849
2023,171418.0,200060.38143512083,150114.96608325376,244879.02531255945,,,2.8,252000.0,9.0,6720.0,0.68,0.794,0.027,0.857
2024,170746.0,,,,,,,,,,,,,
