sex,age,value_2018,value_2023,apc_pct_per_year,p_value
Both,15-19 years,20033.342231454997,20599.230190056736,1.063161939348145,0.3024500818227167
Both,20-24 years,25876.411410598248,26713.248631077928,1.036511614281621,0.08159260727801576
Both,25-29 years,24507.11457937796,26318.05743815585,1.9459716158143792,0.017575833024259507
Both,30-34 years,20061.57511361936,22605.312842077685,3.1506576273839793,0.050639877279027024
Both,35-39 years,16186.1416923712,18257.75325165854,3.3647092966511805,0.052527969944701366
Both,40-44 years,15271.133714706848,18134.726243218745,4.324818646591799,0.010071227795423184
Both,45-49 years,12099.817793454296,12999.295836787562,1.9473463236450606,0.08690311713579589
Both,50-54 years,10403.980721724978,11224.40313487135,2.033877454332811,0.16048408793135213
Both,55-59 years,8940.85914769496,9166.912339415634,0.7615334190678613,0.4597818086284797
Both,60-64 years,7876.332797539575,7734.532874351093,0.029856868605016018,0.9847816806906631
Both,65-69 years,6846.797941646311,6566.2271890770135,-0.7146850261632309,0.4900926844975852
Both,70+ years,15367.474479553985,16570.68618098671,1.3873666271875473,0.033822104506226074
Male,15-19 years,8629.369607240533,8759.390023890372,0.846979154147931,0.4408105743000923
Male,20-24 years,13600.219369551214,13929.622142362505,0.8137707165180919,0.09387462157393774
Male,25-29 years,13919.472648352345,14748.941195751771,1.8281935007930183,0.07326096927106764
Male,30-34 years,12846.076256210416,14140.252263247226,2.776930166753888,0.19973032091416412
Male,35-39 years,10490.941031731349,11669.196034664012,3.284328688397231,0.19907180048706555
Male,40-44 years,10223.10757041019,12513.676530192955,5.099329625722815,0.03391247361670077
Male,45-49 years,8398.245209467095,8979.44210982178,1.9800514058088137,0.1789519418763151
Male,50-54 years,7162.081011796898,8014.718644067469,2.7115494192569534,0.13687966555817238
Male,55-59 years,5950.111303785418,5912.743223120276,0.29658681651494323,0.804000143251179
Male,60-64 years,5273.123120590436,5165.810466305191,0.08880327540634614,0.9609932995098808
Male,65-69 years,4279.630044231712,3949.8449489002815,-1.388907030431974,0.29048358164112437
Male,70+ years,8860.170820665324,9223.46353969448,0.7273747692597254,0.1334322225791371
Female,15-19 years,11403.972624214432,11839.840166166365,1.2245946499644056,0.22005985209106702
Female,20-24 years,12276.19204104705,12783.626488715412,1.2780286765533555,0.19073108603658126
Female,25-29 years,10587.641931025622,11569.116242404089,2.0995484343255155,0.0038804100214591248
Female,30-34 years,7215.498857408962,8465.06057883045,3.77016591293986,0.002149060482697469
Female,35-39 years,5695.200660639853,6588.557216994533,3.445179485195049,0.0528523177774935
Female,40-44 years,5048.026144296649,5621.049713025808,2.6002816028275255,0.275324404081689
Female,45-49 years,3701.572583987216,4019.8537269657736,1.8644273140389744,0.02660529629548429
Female,50-54 years,3241.89970992807,3209.6844908038825,0.43534507515397003,0.6262923168040789
Female,55-59 years,2990.7478439095457,3254.169116295354,1.655235792070564,0.14652134751994028
Female,60-64 years,2603.209676949142,2568.7224080459014,-0.09262094708889501,0.930319796645923
Female,65-69 years,2567.1678974145902,2616.38224017673,0.3637607856435965,0.6467205442822388
Female,70+ years,6507.303658888675,7347.222641292227,2.2535828693817983,0.027837215272595247
