year,state,ncrb_suicides
2018,Bihar,14633
2018,Goa,6023
2018,Jammu & Kashmir,10431
2018,Manipur,3261
2018,Sikkim,8241
2018,Tripura,38853
2018,Uttarakhand,15035
2018,Andaman & Nicobar Islands,4628
2018,Chandigarh,8452
2018,Lakshadweep,133
2018,Puducherry,15030
2019,Bihar,23436
2019,Goa,7227
2019,Himachal Pradesh,20334
2019,Manipur,2339
2019,Sikkim,10045
2019,Tripura,40355
2019,Uttarakhand,39476
2019,Andaman & Nicobar Islands,6133
2019,Chandigarh,4735
2019,Puducherry,12024
2020,Bihar,38347
2020,Goa,9330
2020,Himachal Pradesh,44351
2020,Manipur,1943
2020,Sikkim,8228
2020,Tripura,50359
2020,Uttarakhand,28430
2020,Andaman & Nicobar Islands,4726
2020,Chandigarh,4736
2020,Lakshadweep,21001
2020,Puducherry,9924
2021,Bihar,35042
2021,Goa,7322
2021,Himachal Pradesh,41546
2021,Mizoram,2323
2021,Sikkim,11944
2021,Tripura,54470
2021,Andaman & Nicobar Islands,5333
2021,Chandigarh,4638
2021,Puducherry,11322
2022,Bihar,30843
2022,Goa,8126
2022,Himachal Pradesh,32550
2022,Manipur,1350
2022,Sikkim,8428
2022,Tripura,41057
2022,Andaman & Nicobar Islands,8248
2022,Chandigarh,9270
2022,Lakshadweep,2100
2023,Bihar,46650
2023,Goa,8225
2023,Himachal Pradesh,33240
2023,Meghalaya,7433
2023,Sikkim,9634
2023,Tripura,40162
2023,Andaman & Nicobar Islands,7638
2023,Chandigarh,6342
2023,Lakshadweep,266
2023,Ladakh,526
2024,Goa,7324
2024,Himachal Pradesh,33841
2024,Manipur,1535
2024,Meghalaya,3819
2024,Sikkim,8734
2024,Tripura,44672
2024,Uttarakhand,34540
2024,Andaman & Nicobar Islands,5131
2024,Chandigarh,6668
2024,Lakshadweep,3100
2024,Puducherry,16337
