state,baseline_rate_2023,apc_pct,dmhp_coverage,telemanas_coverage,pesticide_feasibility,budget_per_capita,c_anchored_to_srs,achievability_index,tier
Punjab,9.25,4.02,0.9,1.0,0.85,2300,0.766,0.603,ON-TRACK
Himachal Pradesh,12.52,4.01,0.85,0.9,0.55,4500,0.824,0.542,ON-TRACK
Goa,16.41,4.4,1.0,1.0,0.2,5200,1.242,0.512,ON-TRACK
Meghalaya,8.63,-10.0,0.6,0.6,0.3,4400,0.639,0.389,ON-TRACK
Maharashtra,18.46,4.45,0.95,1.0,0.7,2100,0.915,0.273,ON-TRACK
Haryana,17.07,-2.93,0.85,0.9,0.7,2400,0.625,0.262,ON-TRACK
Gujarat,15.95,2.39,0.85,1.0,0.55,2300,0.751,0.202,ON-TRACK
Andhra Pradesh,20.2,1.0,0.85,1.0,0.75,2400,0.765,0.189,ON-TRACK
Tamil Nadu,21.71,8.4,1.0,1.0,0.65,2600,1.045,0.166,ON-TRACK
Karnataka,22.34,3.17,1.0,1.0,0.65,2200,0.82,0.166,ON-TRACK
Jammu & Kashmir,6.36,1.68,0.65,0.7,0.3,4200,0.363,0.157,WATCH
Rajasthan,11.45,3.4,0.75,0.8,0.7,2100,0.56,0.082,WATCH
Madhya Pradesh,17.52,4.58,0.8,0.8,0.8,1800,0.986,0.063,WATCH
West Bengal,16.8,1.0,0.8,0.9,0.65,1800,0.716,0.059,WATCH
Kerala,15.29,5.4,1.0,1.0,0.4,3200,2.028,0.04,WATCH
Nagaland,4.98,-0.02,0.55,0.6,0.2,3800,0.368,-0.01,WATCH
Chhattisgarh,20.6,1.31,0.75,0.8,0.85,1900,1.171,-0.052,WATCH
Telangana,28.11,6.77,0.9,1.0,0.85,2500,0.943,-0.062,WATCH
Odisha,17.92,4.65,0.8,0.8,0.75,2000,0.68,-0.076,WATCH
Arunachal Pradesh,15.03,1.04,0.6,0.6,0.3,4800,0.468,-0.139,EMERGENCY
Mizoram,6.4,20.0,0.65,0.6,0.2,4000,1.081,-0.202,EMERGENCY
Assam,15.22,5.57,0.7,0.8,0.6,2100,0.533,-0.22,EMERGENCY
Sikkim,14.42,6.31,0.8,1.0,0.2,5500,2.732,-0.245,EMERGENCY
Manipur,11.45,-10.0,0.5,0.5,0.2,3600,0.059,-0.266,EMERGENCY
Tripura,21.45,2.55,0.65,0.7,0.3,3500,0.693,-0.377,EMERGENCY
Uttarakhand,16.66,16.01,0.8,0.8,0.6,2700,0.453,-0.382,EMERGENCY
Jharkhand,12.44,6.76,0.65,0.6,0.65,1700,0.384,-0.409,EMERGENCY
Bihar,6.29,10.01,0.6,0.5,0.5,1300,0.108,-0.607,EMERGENCY
Uttar Pradesh,17.22,12.77,0.7,0.8,0.65,1500,0.213,-0.658,EMERGENCY
