location,female_15_29_2023
Uttar Pradesh,8143.595408576906
West Bengal,3407.491204379893
Madhya Pradesh,3059.360089092556
Karnataka,2779.743347458061
Tamil Nadu,2202.5922590489695
Maharashtra,1868.2991189613977
Telangana,1801.0688267976839
Rajasthan,1581.5476908802536
Gujarat,1520.6945683473268
Bihar,1457.3678115687385
Odisha,1403.5539575016141
Andhra Pradesh,1293.6625135651948
Jharkhand,967.5135143034436
Chhattisgarh,961.0137762399203
Assam,900.16048620035
Haryana,577.3652214942834
Punjab,438.3416010668119
Uttarakhand,391.00321767849914
Kerala,316.2361179992529
Delhi,242.8874751503241
Tripura,191.99996747810152
Jammu & Kashmir and Ladakh,178.44058347673774
Other Union Territories,130.49922457156157
Himachal Pradesh,123.72533825999794
Manipur,69.20362674122453
Arunachal Pradesh,68.37657624294496
Meghalaya,46.28349762828728
Goa,32.270464738251874
Sikkim,15.837003038512444
Nagaland,11.832703576900158
Mizoram,10.615705221871146
