state,n_years_overlap,ncrb_rate_2020,ncrb_rate_2023,gbd_rate_2020,gbd_rate_2023,ratio_2020,ratio_2023,mean_ratio_2020_2023,ratio_change_2020_to_2023
Sikkim,4,42.5,40.2,9.589359904865686,10.356377090039917,4.431995505605676,3.8816663057452514,4.18124954327405,-0.5503291998604247
Kerala,3,,30.6,,11.517946968574522,,2.6567234667331605,2.5571613640087882,
Mizoram,4,8.9,7.9,4.300202220525568,4.403626933437384,2.0696701093541243,1.793975765752122,2.1769973328816117,-0.2756943436020023
Goa,4,19.9,20.7,13.371348884029917,13.164456455180037,1.4882567325550515,1.5724158510057455,1.5118253912259534,0.08415911845069401
Chhattisgarh,4,26.4,26.0,18.540537283615144,17.950995217442618,1.423906955670077,1.448387662358482,1.4711307788258356,0.024480706688404963
Tamil Nadu,4,22.2,25.3,17.31872469148006,17.78357295775686,1.2818495816219817,1.4226612424903409,1.3397010888547043,0.14081166086835917
Maharashtra,3,,17.9,,15.132615787060782,,1.182875469243426,1.2936549700300335,
Madhya Pradesh,3,17.4,18.0,14.60329649702868,14.502864297211234,1.1915117934872008,1.2411341395134776,1.2171855977578658,0.0496223460262768
Himachal Pradesh,3,11.6,10.9,9.720392638919115,9.982045407869272,1.1933674318417133,1.0919605706669162,1.1875812996762105,-0.10140686117479714
Punjab,3,8.7,7.5,7.237020699441914,7.199031332691961,1.2021521509080253,1.0418068283633233,1.1513815301619166,-0.16034532254470202
Meghalaya,2,,,,,,,1.0331884575188606,
Tripura,2,20.9,,21.733889380362857,,0.961631838380649,,0.9189771117930432,
Telangana,4,21.5,27.7,29.456381597337778,26.788684047572346,0.7298927714170819,1.034018690534007,0.9112440694546504,0.3041259191169251
Karnataka,4,18.4,19.7,21.428633037002136,20.03132503975493,0.858664197955492,0.9834596543614879,0.9108792766391077,0.12479545640599587
Gujarat,4,11.6,12.5,13.90784584746002,13.11903995037428,0.8340615884895287,0.9528136241130496,0.8604057867194637,0.11875203562352088
Haryana,3,,11.1,,14.302368423286664,,0.7760952362216688,0.822630142640075,
Odisha,3,12.2,12.9,15.01403730086613,14.835674564204334,0.8125729113045567,0.8695256790766529,0.8170475066841765,0.056952767772096236
Arunachal Pradesh,4,10.5,8.2,13.063651884860382,12.636818322988105,0.803756873846935,0.6488975144228413,0.7511812707369598,-0.15485935942409368
Rajasthan,3,7.2,6.8,9.124979021071509,9.278418103227962,0.7890429099479216,0.7328835502287054,0.7432271611619782,-0.05615935971921615
Assam,4,9.3,8.5,13.197645550699363,12.743571921613777,0.7046711448851708,0.6670029448794923,0.7006011423902829,-0.0376682000056785
Nagaland,3,2.2,1.6,3.2016889831343898,3.163140936385028,0.6871373239527607,0.5058263391287737,0.6287105254862096,-0.181310984823987
Uttarakhand,2,8.3,8.1,13.374837111982435,14.558297106012715,0.6205683052815709,0.5563837542960037,0.5884760297887873,-0.06418455098556719
Jammu & Kashmir,4,2.2,2.7,4.29164768892223,4.448331131332215,0.5126236260443109,0.6069692026707074,0.5249524126167616,0.09434557662639653
Jharkhand,4,5.6,5.1,10.597029088779509,10.258328497023808,0.528449997927199,0.4971570174887297,0.4969563754721971,-0.03129298043846934
Uttar Pradesh,4,2.1,3.9,14.059210399057019,14.59147366515854,0.14936827463232583,0.2672793776349269,0.20841900844699612,0.11791110300260105
Bihar,4,0.7,0.7,5.179526114641923,4.80307640380315,0.13514749892295758,0.14573992607024305,0.1325089345853004,0.010592427147285477
Manipur,4,1.4,0.8,9.613374169522789,9.637850237371755,0.14563044934196048,0.08300606258623089,0.11909273134764085,-0.0626243867557296
