state,n_districts,mean_ses,pct_in_q1_poorest,pct_in_q5_richest,ncrb_rate_per_100k,ses_rank_frac
Jharkhand,24,-2.0788042119479595,62.5,0.0,5.1,0.017857142857142856
Bihar,38,-2.077201481954481,68.42105263157895,0.0,0.7,0.05357142857142857
Madhya Pradesh,51,-1.2169740847535941,39.21568627450981,1.9607843137254901,18.0,0.08928571428571429
Odisha,30,-1.207496126219376,33.33333333333333,0.0,12.9,0.125
Rajasthan,33,-0.9855301807144046,39.39393939393939,0.0,6.8,0.16071428571428573
Uttar Pradesh,75,-0.9693642522278387,33.33333333333333,1.3333333333333335,3.9,0.19642857142857142
Assam,33,-0.8628449281314856,21.21212121212121,0.0,8.5,0.23214285714285715
Chhattisgarh,27,-0.623154365703815,22.22222222222222,3.7037037037037033,26.0,0.26785714285714285
Gujarat,33,-0.1126728549500185,12.121212121212121,9.090909090909092,12.5,0.30357142857142855
Ladakh,2,0.09381730365077923,0.0,0.0,6.3,0.3392857142857143
Arunachal Pradesh,20,0.2222323461734844,0.0,0.0,8.2,0.375
Manipur,9,0.3711588173694715,0.0,11.11111111111111,0.8,0.4107142857142857
Nagaland,11,0.661748488862867,0.0,27.27272727272727,1.6,0.44642857142857145
Jammu & Kashmir,20,0.6750414122880478,5.0,30.0,2.7,0.48214285714285715
Telangana,31,0.7178530338199096,0.0,16.129032258064516,27.7,0.5178571428571429
Karnataka,30,0.8594290654072471,10.0,40.0,19.7,0.5535714285714286
Uttarakhand,13,1.1716319023009216,0.0,15.384615384615385,8.1,0.5892857142857143
Haryana,22,1.3731819955857816,4.545454545454546,54.54545454545454,11.1,0.625
Tamil Nadu,32,1.587340111071397,0.0,53.125,25.3,0.6607142857142857
Sikkim,4,1.6950197145345989,0.0,50.0,40.2,0.6964285714285714
Andaman & Nicobar Islands,3,1.6970008163263675,0.0,33.33333333333333,49.6,0.7321428571428571
Punjab,22,1.8740820788237598,0.0,63.63636363636363,7.5,0.7678571428571429
Himachal Pradesh,12,1.9868057174292533,0.0,75.0,10.9,0.8035714285714286
Mizoram,8,2.0089975589711613,0.0,75.0,7.9,0.8392857142857143
Chandigarh,1,2.5060802631845163,0.0,100.0,12.1,0.875
Puducherry,4,2.957446655243772,0.0,100.0,28.0,0.9107142857142857
Goa,2,3.4402938260575597,0.0,100.0,20.7,0.9464285714285714
Kerala,14,3.6135220104538406,0.0,100.0,30.6,0.9821428571428571
