location,Both,Female,Male,F_to_M
Uttar Pradesh,36358.15859042214,17581.88818376943,18776.2704066527,0.9363887397754944
West Bengal,15287.97937339534,7340.60759770651,7947.371775688832,0.9236522217522999
Karnataka,14579.799930185623,6276.0077129825,8303.792217203127,0.7558001872903772
Tamil Nadu,15268.79790580046,5763.831349802282,9504.966555998177,0.6064020652618682
Madhya Pradesh,13148.876886423594,5400.3116865950415,7748.565199828545,0.6969434401499952
Maharashtra,20317.50393418142,5243.326464674879,15074.17746950655,0.34783499632278897
Telangana,10687.613387619464,4886.246690183357,5801.366697436113,0.8422578583668587
Andhra Pradesh,9712.9513365484,4184.856179029318,5528.095157519077,0.7570159448751994
Gujarat,9799.266890932067,3567.607710313013,6231.659180619057,0.572497244619627
Odisha,7286.6899189546,3012.8144456569785,4273.875473297622,0.7049373488957462
Rajasthan,8026.852285283541,3006.931638583,5019.920646700546,0.5989998348996558
Bihar,6541.501877395662,2897.928482980441,3643.573394415223,0.7953533987876605
Jharkhand,4313.21679985863,2056.408227240311,2256.808572618318,0.9112018857915338
Assam,4796.935342733858,1983.8816905536376,2813.0536521802187,0.705241326988576
Chhattisgarh,5856.871209595003,1870.625611057246,3986.245598537757,0.469270034877789
Haryana,4507.820479651491,1389.1429243591292,3118.677555292364,0.44542691564947706
Kerala,4075.510355360409,1275.0773216657535,2800.433033694655,0.4553143411479917
Punjab,2334.5738708786757,869.2545495200118,1465.3193213586665,0.5932185134322979
Uttarakhand,1813.527070496004,826.1914353604045,987.3356351355992,0.8367888344746481
Delhi,1100.4585603139403,412.5215687948434,687.9369915190969,0.5996502207039581
Tripura,900.974663991941,402.4712610842565,498.5034029076845,0.8073591047457469
Jammu & Kashmir and Ladakh,703.8149515993831,343.221014911224,360.5939366881603,0.9518213702190997
Other Union Territories,586.2182600767326,278.0735361798818,308.14472389685056,0.9024121285067502
Himachal Pradesh,791.2767394817971,271.39003242895143,519.8867070528456,0.5220176410499472
Manipur,358.5280288302293,128.56208299669962,229.96594583352945,0.5590483518362528
Arunachal Pradesh,229.8637252951536,109.83264878297588,120.03107651217768,0.9150351056947563
Goa,211.2895261056396,86.48273908100902,124.8067870246305,0.6929329817932236
Meghalaya,265.80676699785363,73.3985446402568,192.4082223575972,0.3814730147230565
Sikkim,73.11602225568181,29.71572043992374,43.4003018157581,0.6846892578321734
Nagaland,62.18735080932965,18.8141130983556,43.37323771097404,0.43377239263822276
Mizoram,62.39939364680773,17.31791909749226,45.08147454931546,0.3841471307365483
