state,year,ncrb_rate_per_100k_observed,gbd_rate_per_100k,ncrb_gbd_rate_ratio,population_m
Sikkim,2020,42.5,9.589359904865686,4.431995505605676,0.68
Chhattisgarh,2020,26.4,18.540537283615144,1.423906955670077,30.693
Tamil Nadu,2020,22.2,17.31872469148006,1.2818495816219817,82.205
Telangana,2020,21.5,29.456381597337778,0.7298927714170819,38.666
Tripura,2020,20.9,21.733889380362857,0.961631838380649,4.155
Goa,2020,19.9,13.371348884029917,1.4882567325550515,1.567
Karnataka,2020,18.4,21.428633037002136,0.858664197955492,69.669
Madhya Pradesh,2020,17.4,14.60329649702868,1.1915117934872008,85.774
Andhra Pradesh,2020,13.4,17.859202402351638,0.750313462948129,54.462
Odisha,2020,12.2,15.01403730086613,0.8125729113045567,47.223
Himachal Pradesh,2020,11.6,9.720392638919115,1.1933674318417133,7.645
Gujarat,2020,11.6,13.90784584746002,0.8340615884895287,70.844
Arunachal Pradesh,2020,10.5,13.063651884860382,0.803756873846935,1.698
Assam,2020,9.3,13.197645550699363,0.7046711448851708,35.919
Mizoram,2020,8.9,4.300202220525568,2.0696701093541243,1.33
Punjab,2020,8.7,7.237020699441914,1.2021521509080253,31.187
Uttarakhand,2020,8.3,13.374837111982435,0.6205683052815709,11.818
Rajasthan,2020,7.2,9.124979021071509,0.7890429099479216,81.621
Jharkhand,2020,5.6,10.597029088779509,0.528449997927199,39.572
Jammu & Kashmir,2020,2.2,4.29164768892223,0.5126236260443109,14.848
Nagaland,2020,2.2,3.2016889831343898,0.6871373239527607,1.969
Uttar Pradesh,2020,2.1,14.059210399057019,0.14936827463232583,235.793
Manipur,2020,1.4,9.613374169522789,0.14563044934196048,3.484
Bihar,2020,0.7,5.179526114641923,0.13514749892295758,127.345
Sikkim,2021,39.2,9.142061768946794,4.287873019317393,0.689
Telangana,2021,26.9,29.386467200959462,0.915387338533899,39.072
Kerala,2021,26.9,10.490246419382743,2.564286759774974,35.047
Chhattisgarh,2021,26.4,18.174954462775926,1.452548343604919,31.324
Tamil Nadu,2021,24.7,19.520866593147673,1.2653126787245366,83.405
Goa,2021,20.6,13.249373146257994,1.5547905378314473,1.58
Karnataka,2021,19.5,23.577994491515042,0.8270423511642357,70.693
Tripura,2021,18.9,21.56740523702273,0.8763223852054374,4.213
Maharashtra,2021,17.8,11.68625144516954,1.5231573685980846,130.338
Haryana,2021,12.5,15.226314317949447,0.8209471930619777,30.395
Gujarat,2021,12.5,17.82458920512062,0.7012784337497674,72.105
Odisha,2021,12.3,15.993884777501425,0.76904392967132,47.846
Himachal Pradesh,2021,12.0,9.393964825935685,1.2774158965200022,7.738
Arunachal Pradesh,2021,10.4,13.080309948821352,0.7950881929167993,1.737
Assam,2021,9.3,13.000615921060062,0.715350723109562,36.484
Punjab,2021,8.6,7.106347919117998,1.2101856112144007,31.596
Mizoram,2021,8.1,4.211173030905633,1.9234545673033185,1.359
Meghalaya,2021,6.9,6.2144099784062234,1.1103226249919234,3.8
Jharkhand,2021,4.7,10.976765403594406,0.4281771384547362,40.38
Uttar Pradesh,2021,2.6,14.213352227369446,0.18292658610073706,240.172
Jammu & Kashmir,2021,1.8,4.013708043771354,0.44846311200769023,15.166
Manipur,2021,1.5,9.135058234408406,0.16420256570998654,3.561
Bihar,2021,0.7,5.458040968282403,0.12825114433325402,130.229
Sikkim,2022,43.1,10.452378600417696,4.123463342427881,0.697
Kerala,2022,28.5,11.63040357256484,2.4504738655182305,35.215
Chhattisgarh,2022,28.2,18.080630143075513,1.5596801536698643,31.969
Telangana,2022,26.3,27.23476586884723,0.9656774773336139,39.482
Tamil Nadu,2022,25.9,18.646765325709744,1.3889808525819574,84.623
Karnataka,2022,20.2,20.731750682680538,0.9743509030752155,71.731
Goa,2022,19.2,13.409334053716412,1.43183844351157,1.592
Maharashtra,2022,18.1,15.405145903762884,1.1749320722485899,132.286
Madhya Pradesh,2022,17.9,14.685241212792317,1.2189108602729184,89.004
West Bengal,2022,12.8,14.885830937334081,0.8598780984336751,105.228
Gujarat,2022,12.7,13.319775821880341,0.9534695005255089,73.389
Haryana,2022,12.6,14.46865586155894,0.8708479986365782,30.951
Mizoram,2022,12.4,4.245283018536555,2.9208888891168816,1.387
Arunachal Pradesh,2022,9.6,12.681931190831726,0.7569825017612635,1.778
Assam,2022,9.4,13.139874188687733,0.715379756686907,37.059
Rajasthan,2022,6.6,9.32526055292387,0.7077550233093075,84.849
Meghalaya,2022,6.4,6.6941805153067415,0.9560542900457979,3.895
Jharkhand,2022,5.6,10.486079440818791,0.5340413480181236,41.204
Uttar Pradesh,2022,3.5,14.950761029921882,0.2341017954199946,244.631
Jammu & Kashmir,2022,2.4,4.513367666309083,0.5317537097443379,15.49
Nagaland,2022,2.2,3.173834156981766,0.6931679133770944,1.967
Manipur,2022,0.8,9.57718548704262,0.0835318477523855,3.64
Bihar,2022,0.6,4.962895367109984,0.12089716901474688,133.178
Sikkim,2023,40.2,10.356377090039917,3.8816663057452514,0.706
Kerala,2023,30.6,11.517946968574522,2.6567234667331605,35.384
Telangana,2023,27.7,26.788684047572346,1.034018690534007,39.896
Chhattisgarh,2023,26.0,17.950995217442618,1.448387662358482,32.627
Tamil Nadu,2023,25.3,17.78357295775686,1.4226612424903409,85.859
Goa,2023,20.7,13.164456455180037,1.5724158510057455,1.605
Karnataka,2023,19.7,20.03132503975493,0.9834596543614879,72.785
Madhya Pradesh,2023,18.0,14.502864297211234,1.2411341395134776,90.664
Maharashtra,2023,17.9,15.132615787060782,1.182875469243426,134.263
Odisha,2023,12.9,14.835674564204334,0.8695256790766529,49.116
Gujarat,2023,12.5,13.11903995037428,0.9528136241130496,74.695
Haryana,2023,11.1,14.302368423286664,0.7760952362216688,31.518
Himachal Pradesh,2023,10.9,9.982045407869272,1.0919605706669162,7.927
Assam,2023,8.5,12.743571921613777,0.6670029448794923,37.642
Arunachal Pradesh,2023,8.2,12.636818322988105,0.6488975144228413,1.819
Uttarakhand,2023,8.1,14.558297106012715,0.5563837542960037,12.457
Mizoram,2023,7.9,4.403626933437384,1.793975765752122,1.417
Punjab,2023,7.5,7.199031332691961,1.0418068283633233,32.429
Rajasthan,2023,6.8,9.278418103227962,0.7328835502287054,86.511
Jharkhand,2023,5.1,10.258328497023808,0.4971570174887297,42.046
Uttar Pradesh,2023,3.9,14.59147366515854,0.2672793776349269,249.174
Jammu & Kashmir,2023,2.7,4.448331131332215,0.6069692026707074,15.822
Nagaland,2023,1.6,3.163140936385028,0.5058263391287737,1.966
Manipur,2023,0.8,9.637850237371755,0.08300606258623089,3.72
Bihar,2023,0.7,4.80307640380315,0.14573992607024305,136.194
