year,Both,Female,Male,MF_ratio,MF_diff_per100k
2010,16.64,14.215,19.086,1.3426661976785086,4.870999999999999
2011,16.53,14.046,19.032,1.3549765057667664,4.986000000000001
2012,16.494,14.186,18.82,1.3266600874101226,4.634
2013,16.288,13.878,18.729,1.3495460440985731,4.850999999999999
2014,15.727,13.098,18.395,1.4044128874637347,5.296999999999999
2015,15.171,12.69,17.682,1.3933806146572103,4.991999999999999
2016,15.075,12.715,17.461,1.3732599292174597,4.745999999999999
2017,15.217,12.766,17.675,1.3845370515431616,4.909000000000001
2018,14.607,11.807,17.383,1.4722622173287032,5.575999999999999
2019,14.197,11.275,17.088,1.5155654101995566,5.813000000000001
2020,13.184,10.706,15.675,1.464132262282832,4.969000000000001
2021,12.624,11.126,14.133,1.2702678410929356,3.0069999999999997
