year,sex,rate_per_100k,low,high
2010,Both,16.640,12.546,18.977
2010,Female,14.215,9.608,16.469
2010,Male,19.086,15.447,21.532
2011,Both,16.530,12.323,18.768
2011,Female,14.046,9.382,16.121
2011,Male,19.032,15.222,21.452
2012,Both,16.494,12.279,18.690
2012,Female,14.186,9.363,16.276
2012,Male,18.820,15.151,21.140
2013,Both,16.288,12.068,18.418
2013,Female,13.878,9.185,15.961
2013,Male,18.729,14.920,20.929
2014,Both,15.727,11.756,17.848
2014,Female,13.098,8.705,15.153
2014,Male,18.395,14.782,20.616
2015,Both,15.171,11.247,17.337
2015,Female,12.690,8.342,14.839
2015,Male,17.682,14.125,19.899
2016,Both,15.075,11.304,17.234
2016,Female,12.715,8.487,14.835
2016,Male,17.461,14.097,19.689
2017,Both,15.217,11.481,17.418
2017,Female,12.766,8.565,14.878
2017,Male,17.675,14.356,19.991
2018,Both,14.607,11.107,16.879
2018,Female,11.807,7.967,13.927
2018,Male,17.383,14.188,19.830
2019,Both,14.197,10.759,16.550
2019,Female,11.275,7.653,13.373
2019,Male,17.088,13.805,19.713
2020,Both,13.184,9.899,15.589
2020,Female,10.706,7.274,12.859
2020,Male,15.675,12.510,18.359
2021,Both,12.624,9.497,15.171
2021,Female,11.126,7.582,13.641
2021,Male,14.133,11.397,16.737
