intervention_id,intervention_name,category,mechanism,evidence_source,effect_size_pct_reduction,evidence_grade,cost_per_daly_inr_2023,feasibility_dmhp_score,equity_score_women_rural_poor,scalability_population_reach_per_crore,india_context_applicability,notes,topsis_closeness,topsis_rank,closeness_equity_heavy,rank_equity_heavy,closeness_cost_heavy,rank_cost_heavy,closeness_evidence_heavy,rank_evidence_heavy
IN10,Decriminalisation impact monitoring (MHCA 2017 Sec 115),legal,Legal protection from prosecution after attempt; reduces help-seeking stigma,Mental Healthcare Act 2017 Section 115; Behere Indian J Psychiatry 2017,3,2,100,5,5,20000000,5,Law already in force; enforcement and awareness uneven; minimal cost,0.6847633293653748,1,0.6200725463023951,3,0.6982402513805471,6,0.7635438918463632,1
LL02,Responsible media reporting guidelines,population_level,Reduces Werther-effect imitation through journalist training and PCI compliance,WHO LIVE LIFE 2021; Niederkrotenthaler Lancet Psychiatry 2020,5,3,150,4,4,10000000,4,PCI guidelines exist; enforcement weak; cost very low; population-wide,0.5578705965323341,2,0.619175959531012,4,0.8311578423531619,2,0.4395954521382545,7
LL01,Pesticide regulation (means restriction),means_restriction,Removes most lethal common method (organophosphate/paraquat) from accessible sale,WHO LIVE LIFE 2021; Gunnell et al BMJ 2017,30,4,3500,4,5,1500000,5,Sri Lanka model; Telangana partial ban 2020; India PIM-Act 1968 enables state bans,0.500052526562615,3,0.47210002244828586,9,0.41389379057656056,12,0.5273660411983015,5
IN01,Tele-MANAS national helpline expansion,clinical,24/7 free tele-counselling; current 14 cells -> 36+ states/UTs,MoHFW Tele-MANAS Q1 2024 report; helpline meta-analyses (Hoffberg 2019),10,2,2500,5,5,5000000,5,Government programme launched Oct 2022; expansion is staffing not new infrastructure,0.4789112017064717,4,0.5116735255004465,8,0.64911678501039,9,0.5225550742863326,6
IN09,Alcohol availability restriction (state-level),population_level,Pricing/sales restriction reduces ETOH-related impulsive suicides,Norstrom J Studies Alcohol 2009; Bihar prohibition impact 2016+,8,2,500,2,4,2000000,4,Politically fraught; displacement effects; cost-effective at scale where implemented,0.42078195657502593,5,0.6217691259007635,2,0.743287498198148,5,0.3965676067542216,10
IN04,Post-attempt peer support (DAPHNE model),community,Survivor-led peer groups + lay counsellor follow-up after attempt,NIMHANS DAPHNE evaluation 2021; Inagaki JAMA Psychiatry 2019,20,3,3500,3,3,50000,4,NIMHANS programme; high re-attempt reduction in pilot cohort,0.40442656780249053,6,0.5629636315334753,5,0.5562715910280454,11,0.534857479841188,4
LL04,Early identification + brief contact intervention,clinical,Postcards/SMS/phone follow-up after suicide attempt or screen-positive,WHO LIVE LIFE 2021; Milner Lancet Psychiatry 2015,17,3,4200,4,4,300000,4,WHO BIC India RCT (Vijayakumar 2009); DMHP-deliverable,0.39944642135410213,7,0.41813731018131167,11,0.7439746884362608,4,0.3265137055811624,12
IN02,mhGAP-IG primary-care integration,clinical,Asha/ANM trained on PHQ-9 + brief intervention referral pathway,Patel et al Lancet 2017 (Goa-SMART); WHO mhGAP-IG v2.0,12,4,6000,5,5,400000,5,Goa-SMART RCT showed effect; MoHFW pilot in 8 states; DMHP-aligned,0.39136149345170285,8,0.43517026239087586,10,0.6800451539157519,8,0.5682174523313589,2
IN03,Crisis helpline scale-up (iCALL/AASRA/Vandrevala),clinical,NGO-operated phone + chat crisis lines with referral,Hoffberg Annu Rev Public Health 2019; iCALL impact data,5,2,1200,3,3,1000000,3,Existing NGO networks; cross-state coverage uneven; cost-effective at scale,0.3810569937905309,9,0.11760036978467123,14,0.05819297353240846,14,0.2670943785447134,14
IN06,Farmer-distress credit + counselling package,community,Multi-component: debt counselling + crisis credit + DMHP linkage,Vidarbha/Marathwada NABARD-MoHFW pilot 2019; Patel et al Lancet 2018,25,3,12000,3,5,100000,4,Multi-ministry coordination challenging; large effect in high-risk subgroup,0.34949961938659563,10,0.5385262202404477,6,0.227572130389713,13,0.5501469234030356,3
IN08,Bridge/jumping-site means restriction (barriers + hotline),means_restriction,Physical barriers + crisis signage at suicide hot-spots,Pirkis Lancet Psychiatry 2015 meta-analysis (-93% at site),2,4,2500,2,2,30000,2,Mumbai sea-link case studies; population effect small but site-level reduction strong,0.3427200082425643,11,0.2928194035247848,13,0.5751757600658745,10,0.3083966323859724,13
LL03,Adolescent socio-emotional skills training,school_based,Builds coping resources in age-14-18 window,WHO LIVE LIFE 2021; Wasserman SEYLE RCT Lancet 2015,15,4,8500,3,4,200000,3,Limited Indian RCT replication; Kerala SCERT pilot ongoing,0.3185387233114057,12,0.31693240670299166,12,0.6955426597765317,7,0.4295601081917195,8
IN07,University-based screening + counselling cells,school_based,UGC-mandated student counselling + suicide screening,UGC Guidelines for Mental Health 2023; Posner C-SSRS validation,10,2,5500,4,2,300000,3,UGC mandate gives infrastructure; effect size uncertain; regressive (university-going),0.31361507233037567,13,0.5188702769687485,7,0.7677070295573942,3,0.37462350742618306,11
IN05,Workplace mental-health screening (IT sector),occupational,PHQ-9 screening + EAP counsellor access in formal-sector workplaces,NIMHANS-PfMH workplace pilot; LaMontagne Aust NZ J Psychiatry 2014,8,3,15000,4,1,200000,3,CSR funding available; regressive (formal sector only); India context moderate,0.15150733109664036,14,0.7472673954929694,1,0.8614015272380573,1,0.4084716346339503,9
